Make,Model,Configuration,Rating,Price,Registered,Kilometers,Fuel,Consumption,Tax,Power,Transmission,TowCapacity,PriceNew,Trunk,Width,Length,Height
VW,Passat,"1,4 GTE Highline+ Variant DSG 5d",4.3,224.900 kr.,12/2020,120.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,152 cm
Citroën,Grand C4 Picasso,"1,6 e-HDi 115 Exclusive E6G 7prs 5d",4.1,69.999 kr.,12/2014,261.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,115 hk/270 nm,Automatisk,1.500 kg,-,-,183 cm,460 cm,164 cm
Hyundai,i30,"1,6 CRDi 110 Style Eco 5d",4.4,69.900 kr.,8/2012,361.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.500 kg,249.993 kr.,-,178 cm,,
Mercedes,A180 d,"1,5 Business aut. 5d",4.7,159.900 kr.,6/2017,122.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,109 hk/260 nm,Automatisk,1.200 kg,-,-,178 cm,,
Citroën,Grand C4 Picasso,"1,6 BlueHDi 120 Intensive EAT6 7prs 5d",4.1,119.800 kr.,5/2016,128.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,120 hk/300 nm,Automatisk,1.500 kg,366.988 kr.,-,183 cm,,
Renault,Kadjar,"1,5 dCi 110 Zen 5d",4.4,99.900 kr.,8/2016,160.500 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,312.800 kr.,-,184 cm,,
Skoda,Octavia,"1,4 TSi iV Style Combi DSG 5d",4.5,234.800 kr.,4/2021,79.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,-,490 liter,183 cm,469 cm,150 cm
VW,Golf VII,"1,6 TDi 110 BlueMotion Variant 5d",4.6,99.999 kr.,4/2015,190.000 km,Diesel,"(NEDC) 28,6 km/l",1.040 kr. / år,110 hk/250 nm,Manuel,1.000 kg,320.996 kr.,-,180 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,198.000 kr.,7/2020,123.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,208,"1,5 BlueHDi 100 Edition:210+ 5d",4.2,114.900 kr.,10/2020,129.000 km,Diesel,"(NEDC) 34,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,180.910 kr.,309 liter,175 cm,,
Peugeot,308,"1,6 BlueHDi 120 Chili Allure SW 5d",4.3,64.900 kr.,10/2016,264.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,319.990 kr.,-,180 cm,,
Kia,Ceed,"1,6 CRDi 136 Premium 5d",4.3,99.900 kr.,6/2017,116.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,136 hk/280 nm,Manuel,1.500 kg,240.097 kr.,-,178 cm,,
Cupra,Formentor,"1,4 eHybrid VZ DSG 5d",4.7,249.900 kr.,4/2021,66.000 km,Plug-in hybrid Benzin,"(WLTP) 66,6 km/l",1.040 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,360.811 kr.,345 liter,184 cm,445 cm,151 cm
Mitsubishi,Outlander,"2,4 PHEV Intense CVT 4WD 5d",4.1,174.900 kr.,7/2020,100.865 km,Plug-in hybrid Benzin,"(NEDC) 32,1 km/l",1.160 kr. / år,224 hk/300 nm,Automatisk,1.500 kg,385.926 kr.,498 liter,180 cm,470 cm,170 cm
Peugeot,308,"1,6 BlueHDi 120 Allure SW 5d",4.3,89.900 kr.,6/2016,124.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,309.993 kr.,-,180 cm,459 cm,147 cm
Kia,XCeed,"1,6 PHEV Upgrade Intro DCT 5d",4.5,158.800 kr.,3/2020,100.000 km,Plug-in hybrid Benzin,"(NEDC) 44,0 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,308.912 kr.,291 liter,183 cm,440 cm,149 cm
VW,Passat,"1,4 GTE High Variant DSG 5d",4.3,269.900 kr.,9/2021,72.000 km,Plug-in hybrid Benzin,"(NEDC) 42,2 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,395.811 kr.,483 liter,183 cm,477 cm,152 cm
Kia,Niro,"1,6 PHEV Advance DCT 5d",4.5,154.900 kr.,2/2019,88.000 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,289.276 kr.,324 liter,181 cm,436 cm,154 cm
Renault,Talisman,"1,5 dCi 110 Zen Sport Tourer EDC 5d",4.4,158.890 kr.,6/2017,95.500 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/250 nm,Automatisk,1.850 kg,346.595 kr.,-,187 cm,,
Audi,A3,40 TFSi e Advanced Sportback S-tr. 5d,4.5,239.900 kr.,3/2021,75.000 km,Plug-in hybrid Benzin,"(WLTP) 100,0 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,-,280 liter,182 cm,434 cm,145 cm
Peugeot,308,"1,6 BlueHDi 120 Allure Sky 5d",4.3,99.900 kr.,4/2018,144.000 km,Diesel,"(NEDC) 32,3 km/l",1.400 kr. / år,120 hk/300 nm,Manuel,1.400 kg,219.991 kr.,420 liter,186 cm,,
Skoda,Superb,"1,4 TSi iV Ambition Combi DSG 5d",4.6,239.900 kr.,7/2020,107.000 km,Plug-in hybrid Benzin,"(NEDC) 35,9 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,510 liter,186 cm,486 cm,151 cm
Peugeot,208,"1,5 BlueHDi 100 Allure Sky 5d",4.2,54.990 kr.,2/2019,248.000 km,Diesel,"(NEDC) 34,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,185.909 kr.,309 liter,175 cm,406 cm,143 cm
Citroën,C4,"1,6 BlueHDi 100 Challenge 5d",4.2,79.900 kr.,5/2017,114.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,100 hk/254 nm,Manuel,1.550 kg,189.883 kr.,-,179 cm,,
Peugeot,308,"1,6 BlueHDi 120 Active 5d",4.3,47.900 kr.,12/2016,245.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,266.993 kr.,-,180 cm,,
Ford,Focus,"1,0 EcoBoost mHEV Titanium stc. 5d",4.3,249.500 kr.,11/2021,17.000 km,Benzin,"(NEDC) 26,8 km/l",1.360 kr. / år,155 hk/235 nm,Manuel,1.000 kg,272.286 kr.,608 liter,183 cm,,
VW,Golf VII,"1,4 GTE DSG 5d",4.6,159.800 kr.,11/2017,138.000 km,Plug-in hybrid Benzin,"(NEDC) 35,1 km/l",1.080 kr. / år,204 hk/330 nm,Automatisk,1.500 kg,307.688 kr.,-,180 cm,427 cm,145 cm
Seat,Leon,"1,4 eHybrid FR DSG 5d",·,232.900 kr.,9/2021,76.000 km,Plug-in hybrid Benzin,"(NEDC) 42,7 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,285.586 kr.,270 liter,180 cm,437 cm,146 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,199.900 kr.,8/2020,85.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Nissan,Qashqai,"1,5 dCi 110 Tekna 5d",4.3,99.900 kr.,7/2014,192.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,379.901 kr.,-,181 cm,,
Seat,Leon,"1,6 TDi 110 Style 5d",4.4,89.400 kr.,3/2016,194.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/250 nm,Manuel,1.500 kg,264.013 kr.,-,181 cm,,
Seat,Leon,"1,4 eHybrid FR Sportstourer DSG 5d",4.4,174.900 kr.,12/2020,104.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,295.810 kr.,470 liter,180 cm,464 cm,146 cm
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,129.800 kr.,7/2018,88.000 km,Plug-in hybrid Benzin,"(NEDC) 42,1 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,278.382 kr.,324 liter,180 cm,435 cm,153 cm
Audi,A1,"1,6 TDi 116 Sport Sportback S-tr. 5d",4.5,119.700 kr.,10/2015,148.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,116 hk/250 nm,Automatisk,1.200 kg,329.825 kr.,-,175 cm,,
Renault,Kadjar,"1,5 dCi 110 Zen EDC 5d",4.4,79.900 kr.,6/2017,244.300 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Automatisk,1.450 kg,344.800 kr.,-,184 cm,,
Peugeot,208,"1,5 BlueHDi 100 Allure Sky 5d",4.2,109.900 kr.,7/2020,106.000 km,Diesel,"(WLTP) 24,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,185.909 kr.,309 liter,175 cm,,
Peugeot,308,"1,6 BlueHDi 120 Style SW 5d",·,44.900 kr.,8/2015,235.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,271.745 kr.,-,180 cm,,
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,259.800 kr.,6/2021,92.000 km,Plug-in hybrid Benzin,"(NEDC) 41,0 km/l",980 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,395.364 kr.,483 liter,183 cm,477 cm,152 cm
Citroën,C4,"1,6 BlueHDi 120 Challenge EAT6 5d",4.2,56.500 kr.,7/2017,219.200 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,120 hk/300 nm,Automatisk,1.450 kg,246.988 kr.,-,179 cm,,
Peugeot,508,"1,6 BlueHDi 120 Active Sky SW 5d",4.4,89.900 kr.,7/2016,170.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.375 kg,-,-,185 cm,,
Renault,Talisman,"1,6 dCi 130 Zen Sport Tourer 5d",4.4,110.000 kr.,5/2016,193.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,130 hk/320 nm,Manuel,1.850 kg,405.900 kr.,-,187 cm,,
Peugeot,208,"1,5 BlueHDi 100 Edition:210+ 5d",·,118.000 kr.,10/2020,66.000 km,Diesel,"(NEDC) 34,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,180.910 kr.,309 liter,175 cm,406 cm,143 cm
Opel,Corsa,"1,5 D 102 Elegance 5d",4.1,94.900 kr.,7/2020,147.500 km,Diesel,"(WLTP) 23,8 km/l",1.400 kr. / år,102 hk/250 nm,Manuel,1.200 kg,170.913 kr.,309 liter,177 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,214.900 kr.,2/2021,104.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,308.465 kr.,411 liter,188 cm,461 cm,166 cm
Renault,Kadjar,"1,5 dCi 110 Zen 5d",4.4,89.700 kr.,7/2016,162.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,312.800 kr.,-,184 cm,,
Ford,Kuga,"2,5 PHEV Titanium CVT 5d",4.4,239.800 kr.,8/2021,7.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,305.663 kr.,411 liter,188 cm,461 cm,166 cm
VW,Touran,"2,0 TDi 190 Highline DSG 7prs 5d",4.4,169.700 kr.,4/2017,197.000 km,Diesel,"(WLTP) 20,8 km/l",1.860 kr. / år,190 hk/400 nm,Automatisk,1.800 kg,469.198 kr.,-,183 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,202.800 kr.,6/2021,86.600 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,345.749 kr.,411 liter,188 cm,461 cm,166 cm
Skoda,Superb,"1,6 TDi 120 Style DSG 5d",4.6,144.600 kr.,8/2016,193.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,120 hk/250 nm,Automatisk,1.500 kg,-,-,186 cm,,
MG,EHS,"1,5 PHEV Luxury 5d",4.0,160.000 kr.,11/2021,49.000 km,Plug-in hybrid Benzin,"(NEDC) 27,2 km/l",840 kr. / år,258 hk/370 nm,Automatisk,1.500 kg,289.999 kr.,448 liter,188 cm,457 cm,169 cm
VW,Passat,"1,4 GTE Highline Variant DSG 5d",4.3,155.000 kr.,1/2017,153.000 km,Plug-in hybrid Benzin,"(NEDC) 32,6 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,148 cm
Audi,Q3,45 TFSi e Attitude+ Sportback S-tr. 5d,4.5,219.900 kr.,7/2021,125.000 km,Plug-in hybrid Benzin,"(NEDC) 35,8 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,390.810 kr.,530 liter,185 cm,451 cm,156 cm
Audi,Q3,45 TFSi e Attitude+ Sportback S-tr. 5d,4.5,277.106 kr.,8/2021,84.000 km,Plug-in hybrid Benzin,"(NEDC) 34,7 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,390.810 kr.,530 liter,185 cm,451 cm,156 cm
Peugeot,308,"1,6 BlueHDi 120 Envy Sky SW 5d",4.3,64.900 kr.,5/2017,257.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,-,-,180 cm,,
Lynk & Co,01,"1,5 PHEV 5d",Kontantpris,249.900 kr.,10/2021,81.000 km,Plug-in hybrid Benzin,"(NEDC) 83,3 km/l",840 kr. / år,262 hk/425 nm,Automatisk,1.800 kg,-,466 liter,186 cm,454 cm,169 cm
Renault,Scenic IV,"1,5 dCi 110 Zen EDC 5d",4.3,134.800 kr.,6/2017,82.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,110 hk/260 nm,Automatisk,1.850 kg,299.911 kr.,-,187 cm,,
