Make,Model,Configuration,Rating,Price,Registered,Kilometers,Fuel,Consumption,Tax,Power,Transmission,TowCapacity,PriceNew,Trunk,Width,Length,Height
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,226.300 kr.,7/2020,83.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,3008,"1,6 Hybrid First Selection EAT8 5d",4.4,199.900 kr.,2/2021,80.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,340.907 kr.,395 liter,184 cm,445 cm,162 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,239.000 kr.,5/2020,83.000 km,Plug-in hybrid Benzin,"(NEDC) 34,3 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.912 kr.,483 liter,183 cm,477 cm,152 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",·,259.900 kr.,11/2021,36.000 km,Plug-in hybrid Benzin,"(NEDC) 46,1 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,398.467 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,209.900 kr.,2/2021,72.000 km,Plug-in hybrid Benzin,"(NEDC) 50,2 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
Skoda,Octavia,"1,4 TSi iV Plus DSG 5d",4.5,213.900 kr.,6/2021,71.000 km,Plug-in hybrid Benzin,"(WLTP) 100,0 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,450 liter,183 cm,469 cm,149 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,239.800 kr.,12/2020,56.500 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,208,"1,5 BlueHDi 100 Active 5d",4.2,79.900 kr.,5/2020,74.400 km,Diesel,"(WLTP) 21,7 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.150 kg,160.911 kr.,309 liter,175 cm,,
VW,Passat,"1,4 GTE Highline+ Variant DSG 5d",4.3,179.999 kr.,10/2017,136.000 km,Plug-in hybrid Benzin,"(WLTP) 50,0 km/l",1.160 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,148 cm
Skoda,Superb,"1,4 TSi iV Combi DSG 5d",4.6,234.990 kr.,12/2021,129.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,413.389 kr.,510 liter,186 cm,486 cm,151 cm
Renault,Kadjar,"1,5 dCi 110 Zen 5d",4.4,98.900 kr.,6/2017,168.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,272.585 kr.,-,184 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,164.500 kr.,6/2020,167.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,174.500 kr.,8/2020,162.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,248.900 kr.,2/2021,68.000 km,Plug-in hybrid Benzin,"(NEDC) 43,0 km/l",980 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,186.900 kr.,7/2021,93.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,320.523 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,229.995 kr.,12/2020,50.000 km,Plug-in hybrid Benzin,"(WLTP) 111,1 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
Opel,Corsa,"1,5 D 102 Sport 5d",4.1,139.900 kr.,9/2020,55.000 km,Diesel,"(WLTP) 23,8 km/l",1.400 kr. / år,102 hk/250 nm,Manuel,1.200 kg,171.011 kr.,309 liter,177 cm,,
Peugeot,208,"1,5 BlueHDi 100 Prestige Sky 5d",4.2,79.700 kr.,8/2019,155.000 km,Diesel,"(WLTP) 21,7 km/l",1.400 kr. / år,100 hk/205 nm,Manuel,1.150 kg,-,285 liter,174 cm,,
Peugeot,208,"1,5 BlueHDi 100 Active+ 5d",4.2,144.900 kr.,4/2020,39.000 km,Diesel,"(WLTP) 24,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,168.411 kr.,309 liter,175 cm,,
Peugeot,208,"1,5 BlueHDi 100 Allure Sky 5d",·,114.900 kr.,10/2020,126.000 km,Diesel,"(WLTP) 24,4 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.200 kg,185.909 kr.,309 liter,175 cm,,
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,208.900 kr.,1/2020,128.000 km,Plug-in hybrid Benzin,"(NEDC) 37,7 km/l",1.040 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.912 kr.,483 liter,183 cm,477 cm,152 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,199.780 kr.,11/2020,76.000 km,Plug-in hybrid Benzin,"(WLTP) 111,1 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
Cupra,Leon,"1,4 eHybrid Sportstourer DSG 5d",4.4,224.900 kr.,12/2020,80.700 km,Plug-in hybrid Benzin,"(NEDC) 38,9 km/l",1.040 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,335.810 kr.,470 liter,180 cm,466 cm,146 cm
Mercedes,A180 d,"1,5 Business 5d",4.7,119.900 kr.,12/2016,185.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,109 hk/260 nm,Manuel,1.200 kg,-,-,178 cm,,
Mitsubishi,Outlander,"2,4 PHEV Invite CVT 4WD 5d",4.1,189.900 kr.,9/2020,72.000 km,Plug-in hybrid Benzin,"(NEDC) 32,1 km/l",1.160 kr. / år,224 hk/300 nm,Automatisk,1.500 kg,325.921 kr.,498 liter,180 cm,470 cm,170 cm
VW,Golf VII,"1,6 TDi 110 Comfortline BMT 5d",4.6,77.900 kr.,12/2016,240.000 km,Diesel,"(NEDC) 29,4 km/l",1.040 kr. / år,110 hk/250 nm,Manuel,1.000 kg,-,-,180 cm,,
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,188.900 kr.,5/2020,100.000 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Opel,Grandland X,"1,6 Hybrid4 Ultimate aut. 5d",4.4,199.800 kr.,11/2020,57.000 km,Plug-in hybrid Benzin,"(NEDC) 40,6 km/l",980 kr. / år,300 hk/520 nm,Automatisk,1.250 kg,395.911 kr.,390 liter,186 cm,448 cm,161 cm
Mercedes,A250 e,"1,3 Progressive aut. 5d",·,249.900 kr.,7/2020,68.000 km,Plug-in hybrid Benzin,"(NEDC) 90,9 km/l",840 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,310 liter,180 cm,453 cm,144 cm
Kia,Ceed,"1,6 PHEV Upgrade+ SW DCT 5d",4.3,159.900 kr.,9/2020,88.000 km,Plug-in hybrid Benzin,"(WLTP) 76,9 km/l",940 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,341.913 kr.,427 liter,180 cm,461 cm,147 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,244.900 kr.,4/2021,52.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,345.749 kr.,411 liter,188 cm,461 cm,166 cm
Mercedes,A180,"1,5 CDi Urban 5d",4.6,89.900 kr.,10/2014,170.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,109 hk/260 nm,Manuel,1.200 kg,-,-,178 cm,,
Peugeot,308,"1,6 BlueHDi 120 Style SW 5d",4.3,69.900 kr.,7/2015,187.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,271.745 kr.,-,180 cm,,
Volvo,XC40,"1,5 T5 ReCharge Inscription aut. 5d",4.5,299.900 kr.,6/2021,57.000 km,Plug-in hybrid Benzin,"(NEDC) 32,1 km/l",1.160 kr. / år,262 hk/425 nm,Automatisk,1.800 kg,573.003 kr.,405 liter,186 cm,443 cm,166 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,199.900 kr.,1/2021,99.000 km,Plug-in hybrid Benzin,"(NEDC) 55,3 km/l",840 kr. / år,225 hk/-,Automatisk,1.200 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,209.900 kr.,2/2021,91.000 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,345.749 kr.,411 liter,188 cm,461 cm,166 cm
Kia,Niro,"1,6 PHEV Advance+ DCT 5d",4.5,159.900 kr.,8/2019,54.000 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,-,324 liter,181 cm,436 cm,154 cm
Seat,Leon,"1,4 eHybrid FR DSG 5d",4.4,209.500 kr.,8/2021,26.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,285.586 kr.,270 liter,180 cm,437 cm,146 cm
Ford,Fiesta,"1,0 EcoBoost Titanium 5d",4.2,127.900 kr.,6/2020,83.000 km,Benzin,"(WLTP) 19,6 km/l",1.260 kr. / år,125 hk/170 nm,Manuel,1.000 kg,171.709 kr.,303 liter,174 cm,,
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,212.900 kr.,3/2021,59.000 km,Plug-in hybrid Benzin,"(WLTP) 111,1 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.700 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,219.900 kr.,12/2020,30.000 km,Plug-in hybrid Benzin,"(WLTP) 111,1 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,199.300 kr.,6/2021,80.000 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,320.523 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,3008,"1,6 Hybrid Allure Pack EAT8 5d",4.4,219.900 kr.,12/2021,38.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,335.809 kr.,395 liter,184 cm,445 cm,162 cm
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,169.900 kr.,8/2021,95.000 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,260.720 kr.,324 liter,181 cm,436 cm,154 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",·,199.900 kr.,7/2020,106.350 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Citroën,C4,"1,6 BlueHDi 120 Feel EAT6 5d",4.2,89.800 kr.,1/2015,156.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Automatisk,1.450 kg,251.270 kr.,-,179 cm,433 cm,149 cm
Audi,A3,"1,6 TDi 110 Ambition Sportback S-tr. 5d",4.5,119.800 kr.,10/2014,158.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,110 hk/250 nm,Automatisk,1.500 kg,363.952 kr.,-,179 cm,,
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,189.500 kr.,6/2020,98.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,239.900 kr.,5/2021,38.000 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,348.607 kr.,411 liter,188 cm,461 cm,166 cm
Volvo,XC40,"1,5 T4 ReCharge Inscription X aut. 5d",4.5,299.900 kr.,10/2020,30.000 km,Plug-in hybrid Benzin,"(NEDC) 31,1 km/l",1.160 kr. / år,211 hk/405 nm,Automatisk,1.800 kg,486.003 kr.,460 liter,186 cm,443 cm,166 cm
Mercedes,A250 e,"1,3 AMG Line aut. 5d",4.5,269.900 kr.,7/2020,74.000 km,Plug-in hybrid Benzin,"(NEDC) 35,5 km/l",1.080 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,310 liter,180 cm,453 cm,144 cm
Renault,Scenic IV,"1,5 dCi 110 Zen EDC 5d",4.3,119.900 kr.,3/2017,96.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,110 hk/260 nm,Automatisk,1.850 kg,299.911 kr.,-,187 cm,,
Ford,Puma,"1,0 EcoBoost mHEV Titanium 5d",4.2,157.000 kr.,6/2020,29.000 km,Benzin,"(NEDC) 26,2 km/l",1.260 kr. / år,125 hk/210 nm,Manuel,1.100 kg,215.543 kr.,401 liter,181 cm,,
Opel,Astra,"1,2 T 110 Elegance 5d",·,89.900 kr.,9/2020,152.000 km,Benzin,"(NEDC) 25,6 km/l",1.260 kr. / år,110 hk/195 nm,Manuel,1.220 kg,195.910 kr.,370 liter,181 cm,,
,,,,,,,,,,,,,,,,,
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,214.900 kr.,12/2020,70.000 km,Plug-in hybrid Benzin,"(NEDC) 37,8 km/l",1.040 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.912 kr.,483 liter,183 cm,477 cm,152 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,234.900 kr.,11/2020,94.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",1.080 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Mitsubishi,Outlander,"2,4 PHEV Limited CVT 4WD 5d",4.1,189.500 kr.,4/2020,108.000 km,Plug-in hybrid Benzin,"(NEDC) 32,1 km/l",1.160 kr. / år,224 hk/300 nm,Automatisk,1.500 kg,325.919 kr.,498 liter,180 cm,470 cm,170 cm
Opel,Grandland X,"1,6 Hybrid4 Ultimate aut. 5d",4.4,169.900 kr.,3/2021,115.000 km,Plug-in hybrid Benzin,"(WLTP) 76,9 km/l",980 kr. / år,300 hk/520 nm,Automatisk,1.250 kg,395.811 kr.,390 liter,186 cm,448 cm,161 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,214.900 kr.,8/2020,85.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Skoda,Octavia,"1,4 TSi iV Plus Combi DSG 5d",4.5,234.800 kr.,6/2021,61.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,335.814 kr.,490 liter,183 cm,469 cm,150 cm
Cupra,Formentor,"1,4 eHybrid VZ DSG 5d",·,259.900 kr.,6/2021,66.000 km,Plug-in hybrid Benzin,"(NEDC) 66,7 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,360.811 kr.,345 liter,184 cm,445 cm,151 cm
Citroën,C5 Aircross,"1,6 Hybrid Feel EAT8 5d",4.5,182.900 kr.,10/2020,61.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,225 hk/360 nm,Automatisk,1.300 kg,315.911 kr.,460 liter,-,450 cm,165 cm
Kia,XCeed,"1,6 PHEV Prestige DCT 5d",4.5,162.700 kr.,12/2021,67.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,260.720 kr.,291 liter,183 cm,440 cm,148 cm
Mercedes,A250 e,"1,3 AMG Line aut. 5d",4.5,269.900 kr.,4/2021,72.000 km,Plug-in hybrid Benzin,"(NEDC) 110,0 km/l",840 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,310 liter,180 cm,453 cm,144 cm
Kia,Niro,"1,6 PHEV Advance DCT 5d",4.5,174.900 kr.,1/2019,36.000 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,296.019 kr.,324 liter,181 cm,436 cm,154 cm
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,129.900 kr.,11/2018,133.375 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,278.382 kr.,324 liter,180 cm,435 cm,153 cm
Peugeot,3008,"1,6 Hybrid GT EAT8 5d",4.4,209.700 kr.,8/2021,46.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,370.813 kr.,395 liter,184 cm,445 cm,162 cm
Seat,Formentor,"1,4 eHybrid Cupra VZ DSG 5d",4.0,248.900 kr.,5/2021,53.000 km,Plug-in hybrid Benzin,"(WLTP) 66,6 km/l",1.040 kr. / år,245 hk/-,Automatisk,1.500 kg,355.811 kr.,345 liter,-,-,-
Ford,Fiesta,"1,0 EcoBoost ST-Line X 5d",4.2,134.900 kr.,1/2020,99.600 km,Benzin,"(WLTP) 19,6 km/l",1.260 kr. / år,125 hk/170 nm,Manuel,1.000 kg,187.645 kr.,303 liter,174 cm,,
Ford,Kuga,"2,5 PHEV Titanium CVT 5d",4.4,176.995 kr.,8/2020,87.000 km,Plug-in hybrid Benzin,"(NEDC) 55,3 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,282.010 kr.,411 liter,188 cm,461 cm,166 cm
Hyundai,i30,"1,6 CRDi 110 Active+ 5d",4.4,79.900 kr.,4/2016,136.000 km,Diesel,"(NEDC) 27,8 km/l",1.860 kr. / år,110 hk/280 nm,Manuel,1.500 kg,225.038 kr.,-,178 cm,,
Fiat,Punto,"0,9 TwinAir 100 Lounge 5d",3.9,39.000 kr.,1/2015,175.000 km,Benzin,"(NEDC) 26,3 km/l",840 kr. / år,100 hk/145 nm,Manuel,1.000 kg,172.999 kr.,-,169 cm,407 cm,149 cm
Peugeot,508,"1,6 Hybrid Allure SW EAT8 5d",4.4,195.000 kr.,3/2021,66.000 km,Plug-in hybrid Benzin,"(WLTP) 76,9 km/l",980 kr. / år,225 hk/360 nm,Automatisk,1.340 kg,310.813 kr.,530 liter,186 cm,478 cm,142 cm
Peugeot,3008,"1,6 Hybrid First Selection EAT8 5d",4.4,199.700 kr.,12/2021,59.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,340.907 kr.,395 liter,184 cm,445 cm,162 cm
Mercedes,A250 e,"1,3 AMG Line aut. 5d",·,229.980 kr.,11/2020,143.000 km,Plug-in hybrid Benzin,"(NEDC) 35,8 km/l",1.080 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,310 liter,180 cm,453 cm,144 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,189.900 kr.,12/2020,130.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,249.800 kr.,5/2021,91.000 km,Plug-in hybrid Benzin,"(NEDC) 83,3 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.900 kg,415.917 kr.,483 liter,183 cm,477 cm,152 cm
Opel,Grandland X,"1,6 Hybrid4 Ultimate aut. 5d",4.4,184.900 kr.,12/2020,97.500 km,Plug-in hybrid Benzin,"(NEDC) 40,6 km/l",980 kr. / år,300 hk/520 nm,Automatisk,1.250 kg,395.911 kr.,390 liter,186 cm,448 cm,161 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,204.995 kr.,11/2020,96.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",980 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Audi,Q3,45 TFSi e Attitude+ S-tr. 5d,4.5,249.900 kr.,3/2021,77.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,375.808 kr.,530 liter,185 cm,448 cm,162 cm
VW,Golf VII,"1,6 TDi 105 Trendline BMT 5d",4.6,79.900 kr.,6/2013,201.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,105 hk/250 nm,Manuel,1.500 kg,284.995 kr.,-,180 cm,,
Nissan,Qashqai,"1,5 dCi 110 Tekna+ 5d",4.3,94.900 kr.,4/2014,181.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,-,-,181 cm,,
Audi,Q3,45 TFSi e Attitude+ S-tr. 5d,4.5,279.900 kr.,5/2021,85.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",1.080 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,375.808 kr.,530 liter,185 cm,448 cm,162 cm
Skoda,Octavia,"1,4 TSi iV Plus DSG 5d",4.5,177.700 kr.,12/2020,147.000 km,Plug-in hybrid Benzin,"(NEDC) 45,5 km/l",940 kr. / år,204 hk/-,Automatisk,1.500 kg,308.415 kr.,450 liter,183 cm,469 cm,149 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,229.500 kr.,7/2020,55.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
,,,,,,,,,,,,,,,,,
Kia,Ceed,"1,6 CRDi 136 Premium SW 5d",4.3,74.900 kr.,7/2017,232.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,136 hk/280 nm,Manuel,1.500 kg,248.225 kr.,-,178 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,184.600 kr.,8/2020,122.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Opel,Corsa,"1,2 T 100 CityLine+ 5d",4.1,119.999 kr.,8/2020,66.000 km,Benzin,"(NEDC) 26,2 km/l",1.260 kr. / år,100 hk/205 nm,Manuel,1.200 kg,180.913 kr.,309 liter,177 cm,,
Kia,Ceed,"1,6 CRDi 136 Premium SW 5d",4.3,58.999 kr.,3/2016,249.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,136 hk/280 nm,Manuel,1.500 kg,280.523 kr.,-,178 cm,,
Nissan,Qashqai,"1,5 dCi 110 Acenta 5d",4.3,84.900 kr.,1/2017,293.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,306.901 kr.,-,181 cm,,
Nissan,Qashqai,"1,5 dCi 110 Tekna 5d",4.3,144.799 kr.,7/2017,67.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,354.990 kr.,-,181 cm,,
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,223.900 kr.,3/2021,98.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.917 kr.,483 liter,183 cm,477 cm,152 cm
MG,EHS,"1,5 PHEV Luxury 5d",4.0,184.800 kr.,10/2021,28.000 km,Plug-in hybrid Benzin,"(NEDC) 27,2 km/l",840 kr. / år,258 hk/370 nm,Automatisk,1.500 kg,289.999 kr.,448 liter,188 cm,457 cm,169 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",·,199.800 kr.,8/2020,89.064 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,308,"1,6 BlueHDi 120 Allure SW 5d",4.3,67.900 kr.,7/2016,195.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,309.993 kr.,-,180 cm,459 cm,147 cm
Citroën,Grand C4 Picasso,"1,6 BlueHDi 120 Intensive 7prs 5d",4.1,39.900 kr.,2/2014,321.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.500 kg,359.993 kr.,-,183 cm,,
Audi,Q3,45 TFSi e Attitude+ S-tr. 5d,4.5,277.900 kr.,6/2021,55.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",1.080 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,375.808 kr.,530 liter,185 cm,448 cm,162 cm
Honda,Civic,"1,6 i-DTEC Sport 5d",4.2,89.300 kr.,9/2016,139.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.400 kg,297.499 kr.,-,177 cm,,
BMW,420d,"2,0 Gran Coupé aut. 5d",4.7,154.500 kr.,12/2016,206.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,190 hk/400 nm,Automatisk,1.600 kg,606.018 kr.,-,183 cm,,
Opel,Astra,"1,6 CDTi 136 Innovation Sports Tourer 5d",4.0,84.995 kr.,11/2016,156.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,136 hk/320 nm,Manuel,1.500 kg,278.568 kr.,-,181 cm,,
Peugeot,208,"1,5 BlueHDi 100 Allure Sky 5d",4.2,89.800 kr.,6/2019,133.000 km,Diesel,"(WLTP) 21,7 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.150 kg,185.909 kr.,309 liter,175 cm,,
VW,Golf VII,"1,6 TDi 115 Trendline DSG 5d",4.6,99.900 kr.,9/2016,235.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,115 hk/250 nm,Automatisk,1.500 kg,-,-,179 cm,,
